cow_id,bull_id
FR00000015015,US00000003013
DE00000062158,US00000003013
GB00000062108,US00000003013
FR00000062307,US00000003013
NL00000062225,US00000003013
NL00000072927,US00000003013
DE00000051632,US00000003013
NL00000015097,US00000003013
NL00000015628,US00000003013
DE00000015180,US00000003013
US00000015184,US00000003013
GB00000016197,US00000003013
GB00000015687,US00000003013
NL00000039350,US00000003013
US00000005031,US00000003013
DE00000033808,US00000003013
NL00000027931,US00000003013
FR00000016238,US00000003013
US00000039037,US00000003013
US00000072409,US00000003013
RU00000092581,US00000003013
DE00000091715,US00000003013
US00000091717,US00000003013
FR00000092639,US00000003013
DE00000090336,US00000003013
NL00000093618,US00000003013
RU00000093622,US00000003013
GB00000046512,US00000003013
GB00000039071,US00000003013
GB00000039074,US00000003013
RU00000039106,US00000003013
DE00000008272,US00000003013
NL00000052949,US00000003013
RU00000053009,US00000003013
NL00000054114,US00000003013
DE00000054143,US00000003013
NL00000051852,US00000003013
DE00000075434,US00000003013
FR00000051910,US00000003013
NL00000051968,US00000003013
GB00000052057,US00000003013
NL00000052183,US00000003013
NL00000052193,US00000003013
GB00000052574,US00000003013
RU00000076052,US00000003013
RU00000076166,US00000003013
NL00000074087,US00000003013
NL00000077465,US00000003013
DE00000074442,US00000003013
GB00000074600,US00000003013
FR00000029781,US00000003013
GB00000074882,US00000003013
DE00000003128,US00000003013
RU00000004167,US00000003013
NL00000027213,US00000003013
US00000039303,US00000003013
US00000027230,US00000003013
US00000041640,US00000003013
GB00000009045,US00000003013
GB00000003275,US00000003013
RU00000004954,US00000003013
RU00000004988,US00000003013
DE00000004993,US00000003013
US00000027528,US00000003013
RU00000027531,US00000003013
NL00000027572,US00000003013
RU00000004547,US00000003013
DE00000027745,US00000003013
RU00000027760,US00000003013
DE00000027769,US00000003013
NL00000027813,US00000003013
FR00000027818,US00000003013
NL00000009072,US00000003013
NL00000009126,US00000003013
RU00000009130,US00000003013
RU00000009137,US00000003013
FR00000009329,US00000003013
RU00000009423,US00000003013
FR00000004827,US00000003013
GB00000028123,US00000003013
GB00000005058,US00000003013
RU00000028512,US00000003013
US00000004837,US00000003013
GB00000004838,US00000003013
NL00000019233,US00000003013
RU00000009526,US00000003013
FR00000009548,US00000003013
GB00000009598,US00000003013
DE00000009614,US00000003013
GB00000032877,US00000003013
DE00000009771,US00000003013
NL00000025548,US00000003013
FR00000035311,US00000003013
US00000005533,US00000003013
FR00000028598,US00000003013
GB00000028624,US00000003013
GB00000028633,US00000003013
GB00000028634,US00000003013
US00000028665,US00000003013
RU00000005608,US00000003013
GB00000005624,US00000003013
NL00000072779,US00000003013
US00000035388,US00000003013
RU00000072733,US00000003013
DE00000033031,US00000003013
NL00000009937,US00000003013
DE00000009961,US00000003013
GB00000010022,US00000003013
FR00000033178,US00000003013
FR00000033266,US00000003013
US00000033276,US00000003013
GB00000010187,US00000003013
US00000010231,US00000003013
FR00000033424,US00000003013
RU00000033428,US00000003013
FR00000062320,US00000003013
DE00000083193,US00000003013
GB00000083268,US00000003013
NL00000005801,US00000003013
FR00000028873,US00000003013
NL00000005962,US00000003013
GB00000029003,US00000003013
FR00000006122,US00000003013
US00000051636,US00000003013
RU00000083162,US00000003013
FR00000083051,US00000003013
NL00000012288,US00000003013
FR00000010306,US00000003013
US00000033490,US00000003013
FR00000010355,US00000003013
FR00000033583,US00000003013
FR00000010485,US00000003013
GB00000010513,US00000003013
US00000010536,US00000003013
US00000010539,US00000003013
NL00000033642,US00000003013
NL00000010545,US00000003013
DE00000033650,US00000003013
GB00000006277,US00000003013
NL00000029327,US00000003013
DE00000006347,US00000003013
RU00000029352,US00000003013
FR00000006450,US00000003013
US00000006506,US00000003013
FR00000029518,US00000003013
NL00000072662,US00000003013
US00000072695,US00000003013
RU00000062061,US00000003013
NL00000010725,US00000003013
US00000033966,US00000003013
NL00000010849,US00000003013
RU00000077054,US00000003013
GB00000010900,US00000003013
DE00000006544,US00000003013
NL00000029613,US00000003013
FR00000006625,US00000003013
US00000030035,US00000003013
NL00000072749,US00000003013
US00000051570,US00000003013
US00000051513,US00000003013
US00000073006,US00000003013
RU00000034134,US00000003013
RU00000034142,US00000003013
RU00000011026,US00000003013
NL00000011086,US00000003013
GB00000034294,US00000003013
GB00000034296,US00000003013
NL00000034357,US00000003013
GB00000034365,US00000003013
US00000011206,US00000003013
NL00000034376,US00000003013
US00000011239,US00000003013
US00000030049,US00000003013
US00000030088,US00000003013
FR00000007043,US00000003013
GB00000007044,US00000003013
FR00000030193,US00000003013
US00000030339,US00000003013
GB00000007264,US00000003013
FR00000030472,US00000003013
DE00000062322,US00000003013
US00000051723,US00000003013
GB00000051542,US00000003013
RU00000007491,US00000003013
GB00000007527,US00000003013
FR00000030738,US00000003013
RU00000030789,US00000003013
FR00000034484,US00000003013
DE00000011432,US00000003013
RU00000051611,US00000003013
US00000011739,US00000003013
FR00000011770,US00000003013
DE00000034926,US00000003013
GB00000011854,US00000003013
US00000035035,US00000003013
GB00000011904,US00000003013
FR00000035042,US00000003013
NL00000011951,US00000003013
DE00000030870,US00000003013
DE00000030901,US00000003013
NL00000031017,US00000003013
FR00000031103,US00000003013
DE00000072929,US00000003013
FR00000062214,US00000003013
US00000051481,US00000003013
NL00000051789,US00000003013
US00000062292,US00000003013
DE00000062100,US00000003013
DE00000062397,US00000003013
FR00000072796,US00000003013
NL00000062119,US00000003013
US00000008341,US00000003013
FR00000008377,US00000003013
GB00000031505,US00000003013
NL00000031594,US00000003013
FR00000062150,US00000003013
DE00000072999,US00000003013
FR00000072837,US00000003013
GB00000035100,US00000003013
US00000072785,US00000003013
NL00000062062,US00000003013
GB00000072663,US00000003013
DE00000083077,US00000003013
DE00000083230,US00000003013
RU00000062327,US00000003013
GB00000062297,US00000003013
RU00000083229,US00000003013
US00000051547,US00000003013
US00000051662,US00000003013
FR00000062323,US00000003013
US00000083192,US00000003013
DE00000083063,US00000003013
GB00000051536,US00000003013
RU00000051560,US00000003013
NL00000062286,US00000003013
US00000051619,US00000003013
DE00000083366,US00000003013
GB00000083297,US00000003013
US00000036004,US00000003013
RU00000036146,US00000003013
NL00000036153,US00000003013
RU00000013073,US00000003013
US00000036191,US00000003013
FR00000013158,US00000003013
GB00000036361,US00000003013
NL00000013264,US00000003013
DE00000036419,US00000003013
RU00000036426,US00000003013
RU00000014783,US00000003013
GB00000013383,US00000003013
DE00000036496,US00000003013
US00000008690,US00000003013
NL00000031826,US00000003013
GB00000008822,US00000003013
NL00000032073,US00000003013
RU00000032080,US00000003013
NL00000008975,US00000003013
RU00000008992,US00000003013
DE00000009041,US00000003013
FR00000083052,US00000003013
FR00000083215,US00000003013
DE00000051462,US00000003013
RU00000035560,US00000003013
NL00000035681,US00000003013
GB00000072930,US00000003013
DE00000051586,US00000003013
GB00000072784,US00000003013
RU00000072898,US00000003013
DE00000062197,US00000003013
FR00000083040,US00000003013
GB00000083008,US00000003013
NL00000072961,US00000003013
RU00000051761,US00000003013
DE00000051771,US00000003013
GB00000051496,US00000003013
RU00000083324,US00000003013
FR00000083205,US00000003013
NL00000062384,US00000003013
NL00000013650,US00000003013
DE00000036785,US00000003013
DE00000036880,US00000003013
RU00000036924,US00000003013
US00000013829,US00000003013
NL00000013862,US00000003013
DE00000013904,US00000003013
RU00000013905,US00000003013
DE00000037054,US00000003013
NL00000013947,US00000003013
NL00000062277,US00000003013
DE00000051609,US00000003013
DE00000072975,US00000003013
GB00000083169,US00000003013
FR00000012821,US00000003013
RU00000015372,US00000003013
DE00000039655,US00000003013
RU00000013996,US00000003013
RU00000037091,US00000003013
DE00000039458,US00000003013
NL00000016298,US00000003013
FR00000039500,US00000003013
FR00000037813,US00000003013
FR00000037939,US00000003013
FR00000014122,US00000003013
RU00000014371,US00000003013
US00000014376,US00000003013
NL00000077283,US00000003013
NL00000077301,US00000003013
NL00000042949,US00000003013
FR00000043363,US00000003013
US00000020367,US00000003013
RU00000021380,US00000003013
US00000044805,US00000003013
US00000015991,US00000003013
GB00000039263,US00000003013
RU00000014392,US00000003013
GB00000037557,US00000003013
GB00000014437,US00000003013
RU00000037571,US00000003013
GB00000014455,US00000003013
US00000037584,US00000003013
GB00000014499,US00000003013
NL00000014565,US00000003013
NL00000037731,US00000003013
DE00000023625,US00000003013
NL00000024803,US00000003013
GB00000040016,US00000003013
FR00000014858,US00000003013
FR00000014886,US00000003013
DE00000038052,US00000003013
NL00000014914,US00000003013
DE00000038067,US00000003013
RU00000022134,US00000003013
DE00000038147,US00000003013
NL00000038157,US00000003013
US00000015022,US00000003013
DE00000016261,US00000003013
NL00000039793,US00000003013
US00000016766,US00000003013
DE00000038201,US00000003013
DE00000015067,US00000003013
RU00000015231,US00000003013
US00000038421,US00000003013
DE00000015374,US00000003013
US00000015519,US00000003013
DE00000038656,US00000003013
RU00000038668,US00000003013
FR00000038671,US00000003013
DE00000015614,US00000003013
DE00000015752,US00000003013
RU00000040030,US00000003013
RU00000016853,US00000003013
NL00000040074,US00000003013
NL00000016906,US00000003013
RU00000040095,US00000003013
GB00000016965,US00000003013
GB00000016966,US00000003013
GB00000040152,US00000003013
US00000040166,US00000003013
US00000017026,US00000003013
NL00000019675,US00000003013
DE00000042923,US00000003013
NL00000043013,US00000003013
NL00000041289,US00000003013
NL00000041504,US00000003013
DE00000041537,US00000003013
US00000041580,US00000003013
DE00000041612,US00000003013
RU00000040510,US00000003013
GB00000017470,US00000003013
US00000017525,US00000003013
NL00000040776,US00000003013
US00000020120,US00000003013
FR00000043376,US00000003013
NL00000020227,US00000003013
DE00000018428,US00000003013
GB00000041764,US00000003013
FR00000041787,US00000003013
FR00000018560,US00000003013
RU00000041905,US00000003013
NL00000018738,US00000003013
FR00000042037,US00000003013
RU00000018790,US00000003013
DE00000020351,US00000003013
RU00000043555,US00000003013
RU00000043561,US00000003013
DE00000043597,US00000003013
NL00000020422,US00000003013
NL00000043627,US00000003013
DE00000020490,US00000003013
GB00000020491,US00000003013
DE00000020505,US00000003013
NL00000017688,US00000003013
FR00000017699,US00000003013
RU00000040890,US00000003013
FR00000017729,US00000003013
RU00000019013,US00000003013
GB00000019033,US00000003013
NL00000042269,US00000003013
GB00000042277,US00000003013
FR00000019118,US00000003013
GB00000019123,US00000003013
GB00000019140,US00000003013
RU00000019190,US00000003013
GB00000019209,US00000003013
RU00000020676,US00000003013
FR00000020802,US00000003013
FR00000020819,US00000003013
DE00000044019,US00000003013
